"plot","block","diversity","biomass"
1,1,9.59725823206827,62.7222453618074
2,1,7.57737714541145,56.110625749186
3,1,1.31760005303659,22.0662134059181
1,2,4.9468894561287,27.862770634519
2,2,9.71536050713621,66.1245841877957
3,2,2.6212893310003,22.2973987618521
3,3,3.59863429889083,37.2899047794567
1,4,8.17399188736454,67.5483422182988
2,4,8.80936015537009,52.7281778518081
3,4,1.10898547386751,9.48956144616798
1,5,7.00721361325122,38.1628551861571
2,5,4.80021441518329,29.5987605256651
3,5,2.47643896332011,15.2381125787791
1,6,9.65160448476672,64.7338149278906
2,6,5.70554386475123,35.0284167967376
3,6,1.71205456834286,16.7575826040904
1,7,7.72607359546237,47.5767873637099
2,7,1.84049760154448,24.1704407822837
3,7,4.41850761789829,37.8180787241512
1,8,5.52429010998458,54.9155023289076
2,8,9.22020246065222,71.9558237602704
3,8,5.53570607560687,52.53103450626
1,9,2.75118370959535,17.4857138147448
2,9,4.70114117884077,27.3323377096556
3,9,5.35186109109782,36.5285217300904
1,10,7.72965936316177,58.006542450849
2,10,2.67245443351567,25.8174685152575
3,10,2.77274278388359,21.867324931971
